Literature_PID;Dataset_PID;DataCite_RelationType_of_Dataset_PID_record;Scholix_link_available
10.1186/s40478-019-0801-8;10.6084/m9.figshare.c.4717028.v1;IsSupplementTo;False
10.1186/s12859-022-05124-9;10.6084/m9.figshare.c.6588697.v1;IsSupplementTo;False
10.5194/cp-9-2507-2013;10.1594/pangaea.817041;IsSupplementTo;False
10.1186/s12967-016-0907-8;10.6084/m9.figshare.c.3619631_d1.v1;IsSupplementTo;False
10.1186/s12967-016-0907-8;10.6084/m9.figshare.c.3619631_d2.v1;IsSupplementTo;False
10.1186/s40478-018-0521-5;10.6084/m9.figshare.5937826.v1;IsSupplementTo;False
10.1186/s13059-019-1644-0;10.6084/m9.figshare.7705799;IsSupplementTo;False
10.1177/2040620720933761;10.25384/sage.13095893.v1;IsSupplementTo;False
10.1186/s12943-023-01792-0;10.6084/m9.figshare.23255524.v1;IsSupplementTo;False
10.1186/s12943-023-01792-0;10.6084/m9.figshare.23255572.v1;IsSupplementTo;False
10.1186/s12915-021-01101-5;10.6084/m9.figshare.c.5580676.v1;IsSupplementTo;False
10.1186/s12920-015-0161-6;10.6084/m9.figshare.c.3628991_d1.v1;IsSupplementTo;False
10.1186/s13014-023-02275-8;10.6084/m9.figshare.22815197;IsSupplementTo;False
10.1186/s13059-016-0915-2;10.6084/m9.figshare.c.3607397.v1;IsSupplementTo;False
10.1038/s41598-018-20122-9;10.17863/cam.12536;IsSupplementTo;False
10.1186/s13014-020-01693-2;10.6084/m9.figshare.c.5195205;IsSupplementTo;False
10.1080/01490451.2019.1694107;10.1594/pangaea.927947;IsSupplementTo;False
10.1098/rspb.2017.0509;10.6084/m9.figshare.4933325.v1;IsSupplementTo;False
10.1029/2022gc010550;10.1594/pangaea.945724;IsSupplementTo;False
10.1002/lno.11605;10.1594/pangaea.911939;IsSupplementTo;False
10.1890/14-2491.1;10.6084/m9.figshare.3563604.v1;IsSupplementTo;False
10.1038/ngeo2469;10.1594/pangaea.900991;IsSupplementTo;False
10.5194/bg-10-4591-2013;10.1594/pangaea.831770;IsSupplementTo;False
10.1016/j.dci.2015.09.008;10.1594/pangaea.843814;IsSupplementTo;False
10.1080/14693062.2021.1878009;10.6084/m9.figshare.13711730.v1;IsSupplementTo;False
10.1111/gcb.13955;10.5061/dryad.v49vd;IsCitedBy;False
10.1007/s00531-005-0504-1;10.1594/pangaea.711838;IsSupplementTo;False
10.3390/atmos12020174;10.1594/pangaea.928568;IsSupplementTo;False
10.3354/meps13390;10.1594/pangaea.929270;IsSupplementTo;False
10.1038/sdata.2018.154;10.6084/m9.figshare.6007160;IsSupplementTo;False
10.1152/ajpregu.00107.2011;10.1594/pangaea.844555;IsSupplementTo;False
10.1016/j.epsl.2020.116390;10.1594/pangaea.914882;IsSupplementTo;False
10.1029/2008pa001685;10.1594/pangaea.787111;IsSupplementTo;False
10.1126/sciadv.1500531;10.1594/pangaea.846137;IsSupplementTo;False
10.1016/j.gr.2020.06.012;10.17632/s97kpycx63.1;IsSupplementTo;False
10.1111/eva.12760;10.5061/dryad.83765sm;IsCitedBy;False
10.1016/j.margeo.2020.106291;10.1594/pangaea.910769;IsSupplementTo;False
10.1098/rspb.2022.2262;10.6084/m9.figshare.c.6373186;IsSupplementTo;False
10.1186/s12883-022-02642-0;10.6084/m9.figshare.c.5914929.v1;IsSupplementTo;False
10.1186/s40478-022-01387-8;10.6084/m9.figshare.20267368.v1;IsSupplementTo;False
10.1186/s12974-015-0393-6;10.6084/m9.figshare.c.3625001.v1;IsSupplementTo;False
10.1186/s11556-016-0168-9;10.6084/m9.figshare.c.3624854;IsSupplementTo;False
10.1038/s41467-023-42372-6;10.6084/m9.figshare.24179445.v1;IsSupplementTo;False
10.1186/s13024-021-00422-x;10.6084/m9.figshare.14091298.v1;IsSupplementTo;False
10.1130/g24979a.1;10.1594/pangaea.779878;IsSupplementTo;False
10.1038/sdata.2018.241;10.6084/m9.figshare.6339893;IsSupplementTo;False
10.1186/s13024-023-00657-w;10.6084/m9.figshare.24223810;IsSupplementTo;False
10.1186/s40478-016-0310-y;10.6084/m9.figshare.c.3598868;IsSupplementTo;False
10.1007/s100520000344;10.17182/hepdata.43865.v1/t52;IsSupplementTo;False
10.1016/j.physletb.2011.12.056;10.17182/hepdata.58021.v1/t31;IsSupplementTo;False
10.1016/j.physletb.2011.12.056;10.17182/hepdata.58021.v1/t56;IsSupplementTo;False
10.1016/j.physletb.2011.12.056;10.17182/hepdata.58021.v1/t59;IsSupplementTo;False
10.1016/s0370-2693(02)01340-0;10.17182/hepdata.49820.v1/t5;IsSupplementTo;False
10.1007/jhep08(2014)023;10.17182/hepdata.64205.v1/t5;IsSupplementTo;False
