Dataset_PID;Literature_PID;DataCite_RelationType_of_Dataset_PID_record;links_in_scholix;url_to_scholix
10.17182/hepdata.132013.v1/t2;10.1103/physrevc.95.055201;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.132013.v1/t2&targetPid=10.1103/physrevc.95.055201&relation=IsSupplementTo
10.6084/m9.figshare.c.6227489;10.1186/s13007-022-00946-3;IsSupplementTo;1;/v3/Links?sourcePid=10.6084/m9.figshare.c.6227489&targetPid=10.1186/s13007-022-00946-3&relation=IsSupplementTo
10.6084/m9.figshare.c.5088213;10.1186/s13007-020-00652-y;IsSupplementTo;1;/v3/Links?sourcePid=10.6084/m9.figshare.c.5088213&targetPid=10.1186/s13007-020-00652-y&relation=IsSupplementTo
10.6084/m9.figshare.5764680;10.1186/s12864-017-4415-x;IsSupplementTo;1;/v3/Links?sourcePid=10.6084/m9.figshare.5764680&targetPid=10.1186/s12864-017-4415-x&relation=IsSupplementTo
10.6084/m9.figshare.c.6029025;10.1186/s12934-022-01816-2;IsSupplementTo;1;/v3/Links?sourcePid=10.6084/m9.figshare.c.6029025&targetPid=10.1186/s12934-022-01816-2&relation=IsSupplementTo
10.17182/hepdata.116551.v1/t50;10.1103/physrevc.93.055209;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.116551.v1/t50&targetPid=10.1103/physrevc.93.055209&relation=IsSupplementTo
10.17182/hepdata.61857.v1/t15;10.1103/physrevlett.111.222301;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.61857.v1/t15&targetPid=10.1103/physrevlett.111.222301&relation=IsSupplementTo
10.17182/hepdata.72304.v1/t103;10.1103/physrevc.93.034916;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.72304.v1/t103&targetPid=10.1103/physrevc.93.034916&relation=IsSupplementTo
10.17182/hepdata.72304.v1/t128;10.1103/physrevc.93.034916;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.72304.v1/t128&targetPid=10.1103/physrevc.93.034916&relation=IsSupplementTo
10.17182/hepdata.72304.v1/t83;10.1103/physrevc.93.034916;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.72304.v1/t83&targetPid=10.1103/physrevc.93.034916&relation=IsSupplementTo
10.17182/hepdata.72304.v1/t88;10.1103/physrevc.93.034916;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.72304.v1/t88&targetPid=10.1103/physrevc.93.034916&relation=IsSupplementTo
10.17182/hepdata.74447.v1/t47;10.1007/jhep09(2016)164;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.74447.v1/t47&targetPid=10.1007/jhep09(2016)164&relation=IsSupplementTo
10.17182/hepdata.56032.v1/t16;10.1016/j.physletb.2010.08.026;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.56032.v1/t16&targetPid=10.1016/j.physletb.2010.08.026&relation=IsSupplementTo
10.17182/hepdata.143074.v1/t1;10.1103/physrevd.88.032006;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.143074.v1/t1&targetPid=10.1103/physrevd.88.032006&relation=IsSupplementTo
10.17182/hepdata.14428.v1/t11;10.1007/bf01557694;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.14428.v1/t11&targetPid=10.1007/bf01557694&relation=IsSupplementTo
10.17182/hepdata.14428.v1/t20;10.1007/bf01557694;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.14428.v1/t20&targetPid=10.1007/bf01557694&relation=IsSupplementTo
10.17182/hepdata.61965.v1/t7;10.1140/epjc/s10052-013-2496-5;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.61965.v1/t7&targetPid=10.1140/epjc/s10052-013-2496-5&relation=IsSupplementTo
10.17182/hepdata.59732.v1/t50;10.1016/j.physletb.2012.09.055;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.59732.v1/t50&targetPid=10.1016/j.physletb.2012.09.055&relation=IsSupplementTo
10.17182/hepdata.68361.v1/t10;10.1103/physrevc.91.064905;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.68361.v1/t10&targetPid=10.1103/physrevc.91.064905&relation=IsSupplementTo
10.17182/hepdata.72903.v1;10.1140/epjc/s10052-016-4107-8;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.72903.v1&targetPid=10.1140/epjc/s10052-016-4107-8&relation=IsSupplementTo
10.17182/hepdata.61786.v1/t1;10.1016/j.physletb.2013.11.020;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.61786.v1/t1&targetPid=10.1016/j.physletb.2013.11.020&relation=IsSupplementTo
10.17182/hepdata.16503.v1/t15;10.1007/bf01292761;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.16503.v1/t15&targetPid=10.1007/bf01292761&relation=IsSupplementTo
10.17182/hepdata.16503.v1/t9;10.1007/bf01292761;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.16503.v1/t9&targetPid=10.1007/bf01292761&relation=IsSupplementTo
10.17182/hepdata.96561.v1/t10;10.1103/physrevc.87.034911;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.96561.v1/t10&targetPid=10.1103/physrevc.87.034911&relation=IsSupplementTo
10.6084/m9.figshare.c.3624485;10.1186/s12864-015-1865-x;IsSupplementTo;1;/v3/Links?sourcePid=10.6084/m9.figshare.c.3624485&targetPid=10.1186/s12864-015-1865-x&relation=IsSupplementTo
10.17182/hepdata.61769.v1/t11;10.1103/physrevlett.111.232302;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.61769.v1/t11&targetPid=10.1103/physrevlett.111.232302&relation=IsSupplementTo
10.17182/hepdata.61769.v1/t6;10.1103/physrevlett.111.232302;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.61769.v1/t6&targetPid=10.1103/physrevlett.111.232302&relation=IsSupplementTo
10.17182/hepdata.73941.v1;10.1103/physrevc.94.054908;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.73941.v1&targetPid=10.1103/physrevc.94.054908&relation=IsSupplementTo
10.6084/m9.figshare.11316950.v1;10.1364/aop.385184;IsSupplementTo;1;/v3/Links?sourcePid=10.6084/m9.figshare.11316950.v1&targetPid=10.1364/aop.385184&relation=IsSupplementTo
10.17182/hepdata.62306;10.1016/j.physletb.2012.10.049;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.62306&targetPid=10.1016/j.physletb.2012.10.049&relation=IsSupplementTo
10.17182/hepdata.62026.v1/t24;10.1103/physrevlett.107.032301;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.62026.v1/t24&targetPid=10.1103/physrevlett.107.032301&relation=IsSupplementTo
10.17182/hepdata.62026.v1/t27;10.1103/physrevlett.107.032301;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.62026.v1/t27&targetPid=10.1103/physrevlett.107.032301&relation=IsSupplementTo
10.17182/hepdata.89395.v1/t4;10.1016/j.physletb.2017.07.060;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.89395.v1/t4&targetPid=10.1016/j.physletb.2017.07.060&relation=IsSupplementTo
10.17182/hepdata.59733.v1;10.1103/physrevlett.109.112301;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.59733.v1&targetPid=10.1103/physrevlett.109.112301&relation=IsSupplementTo
10.17182/hepdata.61628.v1/t11;10.1016/j.physletb.2013.08.024;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.61628.v1/t11&targetPid=10.1016/j.physletb.2013.08.024&relation=IsSupplementTo
10.6084/m9.figshare.21600485.v1;10.1080/21505594.2022.2149973;IsSupplementTo;1;/v3/Links?sourcePid=10.6084/m9.figshare.21600485.v1&targetPid=10.1080/21505594.2022.2149973&relation=IsSupplementTo
10.17182/hepdata.31729.v1/t24;10.1103/physrevc.66.054902;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.31729.v1/t24&targetPid=10.1103/physrevc.66.054902&relation=IsSupplementTo
10.17182/hepdata.58676.v1/t7;10.1016/j.physletb.2012.01.063;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.58676.v1/t7&targetPid=10.1016/j.physletb.2012.01.063&relation=IsSupplementTo
10.17182/hepdata.60510.v1/t9;10.1103/physrevlett.110.012301;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.60510.v1/t9&targetPid=10.1103/physrevlett.110.012301&relation=IsSupplementTo
10.17182/hepdata.58523.v1/t25;10.1016/j.physletb.2012.01.060;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.58523.v1/t25&targetPid=10.1016/j.physletb.2012.01.060&relation=IsSupplementTo
10.17182/hepdata.58523.v1/t46;10.1016/j.physletb.2012.01.060;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.58523.v1/t46&targetPid=10.1016/j.physletb.2012.01.060&relation=IsSupplementTo
10.17182/hepdata.58899;10.1016/j.physletb.2012.05.015;IsSupplementTo;1;/v3/Links?sourcePid=10.17182/hepdata.58899&targetPid=10.1016/j.physletb.2012.05.015&relation=IsSupplementTo
